workerid,explanation,trial
1428,Emery failed because they were indecisive.,22
1428,Indigo failed because they did not anticipate Harley's decisions.,23
1428,Presley succeeded because they anticipated that Sasha would block the other path.,24
1429,Red wasted moves going the wrong way instead of waiting for blue to move block,1
1429,Blue moved the box for red letting them get to star and win.,2
1429,Red tried to go around instead of waiting for blue to move block in the way so they ran out of moves,3
1429,Blue moved the box for red allowing them to win,4
1429,Blue pushed the box blocking reds path so they didn't have enough moves to go around,5
1429,They went right for star and blue moved out of their way,6
1429,Red had just enough moves to go around wall and get star,7
1429,Blue moved the box for red allowing them to go through and get the star,8
1429,Red went right for the star and blue didn't push the block into the way,9
1429,"Blue moved the box for the red player but, The blue player didn't even have to do anything red could have won just by going straight for the star",10
1429,Red moved in the wrong pattern they should of followed blue to the box when he moved it,11
1429,Red didn't follow blue to the block when they moved it. They tried to go around and ran out of moves,12
1429,They had enough moves to go around even though blue blocked reds path to get the star.,13
1429,Red took the wrong path and wasted most of their moves,14
1429,Red took the wrong path and didn't rely on blue,15
1429,Blue moved the box for red letting them win,16
1429,Blue pushed the box into Red's path making them have to go around and lose,17
1429,"Blue blocked the short path but, yhey had just enough moves to go around the wall and get the star.",18
1429,Taylor went right for the star instead of relying on the blue player to move the box.,19
1429,The blue player didn't move the box but the red player could have won if they had gone straight for the star instead of relying on the blue player,20
1429,Red went right for the star with no blocks in the way,21
1429,Red wasted a turn going down than up around the wall,22
1429,Blue pushed the block into reds path making them run out of turns,23
1429,Blue moved out of the path for red to go around and get star,24
1430,Noah didn't wait for Alex to move the block,1
1430,Ari waited for Cameron to move the block,2
1430,Harper didn't wait for Whitney to move the box out of the way,3
1430,Logan waited for Hunter to move the block to have the shortest route,4
1430,Jordan moved the block into Avery's way and there wasn't enough steps to go back around,5
1430,Madison chose the path that the block would not be an issue,6
1430,Riley took the path that did not depend on Brook to move the block,7
1430,Hayden waited to see if Cedar was going to move the block before making a direction change,8
1430,There was a clear path to the star,9
1430,Sloan chose a path that made it so Bryce didn't have a choice to move the block to hinder the path to the star.,10
1430,Max took random directional changes and ran out of moves,11
1430,Brooklyn took the long way around thinking Grey was going to block the star and ran out of moves.,12
1430,Chandler went around Quinn to get to the star,13
1430,Angel changed direction after the first step and ran out of moves,14
1430,Kirby ran out of moves by not going the route where Flynn needed to move the block,15
1430,Lake moved the block out of the way of Morgan,16
1430,Atlas moved the block in the path so River had to go around and ran out of moves.,17
1430,Skyler took the direct path to the star,18
1430,Taylor took the path straight to the star without changing directions,19
1430,Addison thought Sunny was going to move the block but they didn't,20
1430,Kris did not block the shortest way to the star,21
1430,Emery changed paths and ran out of moves.,22
1430,Indigo took an extra step before Harley moved the block into the way and ran out of moves,23
1430,Sasha moved out of the path to the star,24
1431,Because Noah took wrong and longest route ,1
1431,Ari succeeded because Cameron pulled the box away and making a way for Ari to reach the star within time step.,2
1431,Because Harper took the wrong route and ran out of time step ,3
1431,Becuase Hunter moved the box away and that made Logan to reach the star within the time step.,4
1431,Avery failed because Jordan pushed the box and blocked the way for Avery to reach the star,5
1431,Madison took the correct path and was able to reach the star within time step.,6
1431,Because Riley opted for correct path ,7
1431,Because Cedar pulled away the box so Hayden was able to reach the star within the given time step.,8
1431,Robin took the correct path so he was able to reach the star in a timely manner.,9
1431,Because Bryce cleared the path by pulling the box away for Sloan.,10
1431,BecauseMax took the wrong path and wasted the time.,11
1431,Because Brooklyn took the longest path so was unable to reach the star within the time step.,12
1431,Because Chandler took the right path,13
1431,Because Angel opted for longest path,14
1431,Because Kirby chosen the longest route or path and couldn't make it to the star within the given time step.,15
1431,Because Lake cleared the way by pulling the box away from Morgan's path,16
1431,Because Atlas pushed the box and blocked the path for River.,17
1431,Because Skyler took the right path or route ,18
1431,Addison had to reroute because Sunny didn't pull or push the box.,20
1431,Because Krish didn't push or pull the box,21
1431,Emery failed because it took one time step wrong ,22
1431,Because Harley blocked Indigo's path by pushing the box,23
1431,Presley took the right path to reach the star,24
1432,because Alex closed the passage,1
1432,because Cameron helped him,2
1432,because he made the wrong moves,3
1432,because Jordan intentionally placed the box as an obstacle.,5
1432,because Darcy had no chance of shutting him down.,6
1432,because Brook let him win,7
1432,Cedar definitely allowed it,8
1432,because Blake ran out of moves to hinder him.,9
1432,because Bryce helped him,10
1432,because Brooklyn took a road too long.,12
1432,Quinn definitely helped him by clearing the way,13
1432,because he was hesitant and made extra moves.,14
1432,because he took the longest route,15
1432,because Lake helped him by moving the box.,16
1432,because Atlas made him lose moves,17
1432,because he followed the most direct path,18
1432,because he made the right moves,19
1432,because sunny shut him down.,20
1432,because Kris didn't make any effort to close the passage.,21
1432,Emery was indecisive,22
1432,because Harley left a movement when moving the box.,23
1432,because sasha allowed it,24
1433,he ran around like a clown,1
1433,cameron moved the box,2
1433,harper went the wrong way and then whitney got in his way,3
1433,hunter moved the box,4
1433,jordan blocked avery,5
1433,madison went the right way and darcy stayed out of the way,6
1433,he went around to the star instead of trusting in brook,7
1433,cedar let him through,8
1433,he went to the star,9
1433,he moved to the star and bryce helped,10
1433,he ran around like a weirdo,11
1433,"he didn't get to the star fast enough, went the wrong way",12
1433,moved to the star despite quinn trying to ruin him,13
1433,ran around the wrong way,14
1433,failed to take flynns help,15
1433,lake moved the box out of the way,16
1433,atlas blocked him,17
1433,he went around,18
1433,taylor went straight to the star,19
1433,addison didnt go around and sunny didnt move the box,20
1433,he moved to the star,21
1433,he turned around and went the wrong way,22
1433,harley blocked indigo,23
1433,he went to the star,24
1435,Alex got in the way.,1
1435,Cameron moved the box.,2
1435,Whitney got in the way.,3
1435,Hunter moved the box.,4
1435,Jordan moved the box.,5
1435,Madison went to the star.,6
1435,Riley went to the star.,7
1435,Cedar moved the box.,8
1435,Bryce moved the box.,10
1435,London got in the way.,11
1435,Grey used up all the steps.,12
1435,Chandler went to the star.,13
1435,Angel didn't know where to go.,14
1435,Kirby was confused about where to go.,15
1435,Lake moved the box.,16
1435,Atlas moved the box.,17
1435,Skyler went to the star.,18
1435,Taylor went to the star.,19
1435,Sunny didn't move the box.,20
1435,Cat went to the star.,21
1435,Emery was scared of Phoenix.,22
1435,Harley moved the box.,23
1435,Presley went to the star.,24
1437,"Noah wasn't in place when the box was moved, I'm not sure if there would have been enough time even if he had been.",1
1437,Ari succeeded because Cameron moved the box.,2
1437,Harper failed because they took a bad route and because Whitney got in their way.,3
1437,Logan succeeded because Hunter moved the block out of the way.,4
1437,Avery failed because their route was blocked by Jordan.,5
1437,Madison succeeded because Darcy did not interfere.,6
1437,Riley succeeded because they went around Brook.,7
1437,Cedar moved the box out of Hayden's way.,8
1437,Robin succeeded because Blake did not block the star.,9
1437,Sloan succeeded because Bryce moved the box.,10
1437,Max failed because they took a bad route to the star.,11
1437,Brooklyn failed because they took a bad route.,12
1437,Chandler succeeded because they went around Quinn.,13
1437,Angel failed because they took a bad route and ran out of time.,14
1437,Kirby failed because they did not take the route Flynn unblocked.,15
1437,Morgan succeeded because Lake moved the box.,16
1437,River failed because Atlas blocked the route River was taking.,17
1437,Skyler succeeded because they did not take the route that was blocked by Rory.,18
1437,Because Taylor took a route that did not require the help of Oakley.,19
1437,Addison thought Sunny was going to move the box but didn't.,20
1437,Cat succeeded because Kris did not block their route.,21
1437,Emery failed because they did not take an efficient route.,22
1437,Indigo failed because Harley blocked the route Indigo was taking.,23
1437,Because Presley took the route that Sasha did not block.,24
